Date,Open,High,Low,Close,Adj Close,Volume
10-10-19,25625.57031,25809.58008,25521.94922,25707.92969,25707.92969,1434231600
09-10-19,25736.88086,25866.83984,25656.66016,25682.81055,25682.81055,1588334500
08-10-19,25848.73047,26180.0293,25761.5,25893.40039,25893.40039,1779110400
04-10-19,26169.50977,26169.50977,25612.49023,25821.0293,25821.0293,1137243700
03-10-19,25831.43945,26192.86914,25809.4707,26110.31055,26110.31055,1142351000
02-10-19,25901.4707,26092.61914,25778.2207,26042.68945,26042.68945,1202153800
30-09-19,25844.71094,26161.69922,25786.28906,26092.26953,26092.26953,1343934800
27-09-19,25977.98047,26017.46094,25840.66016,25954.81055,25954.81055,984279500
26-09-19,26075.15039,26099.64063,25917.58008,26041.92969,26041.92969,1700238600
25-09-19,26162.71094,26190.56055,25917.67969,25945.34961,25945.34961,1762622300
24-09-19,26300.21094,26391.98047,26207.26953,26281,26281,2089366000
23-09-19,26463.61914,26483.0293,26186.00977,26222.40039,26222.40039,1285452900
20-09-19,26532.88086,26564.35938,26410.41016,26435.66992,26435.66992,1972985800
19-09-19,26820.73047,26820.73047,26372.08984,26468.94922,26468.94922,1330417000
18-09-19,26838.42969,26891.16016,26730.63086,26754.11914,26754.11914,1372644100
17-09-19,26942.96094,26951.83984,26694.36914,26790.24023,26790.24023,1850715100
16-09-19,27212.89063,27212.89063,26976.30078,27124.55078,27124.55078,2189101500
13-09-19,27154.50977,27366.44922,27074.53906,27352.68945,27352.68945,1176496300
12-09-19,27283.98047,27283.98047,26967.25,27087.63086,27087.63086,1337046900
11-09-19,26790.64063,27159.50977,26705.63086,27159.06055,27159.06055,2072246200
10-09-19,26831.98047,26870.76953,26634.4707,26683.67969,26683.67969,1738020300
09-09-19,26743.35938,26807.85938,26609.65039,26681.40039,26681.40039,1700948300
06-09-19,26773.13086,26790.78906,26563.16992,26690.75977,26690.75977,1895344700
05-09-19,26512.85938,26697.84961,26283.11914,26515.5293,26515.5293,1996619100
04-09-19,25675.16016,26654.21094,25675.16016,26523.23047,26523.23047,2688524600
03-09-19,25546.32031,25736.05078,25498.10938,25527.84961,25527.84961,1149210200
02-09-19,25627.83008,25662.31055,25502.69922,25626.55078,25626.55078,1295066700
30-08-19,26011.64063,26011.64063,25536.15039,25724.73047,25724.73047,2017892000
29-08-19,25606.33008,25714.7793,25372.49023,25703.5,25703.5,1784869100
28-08-19,25767.08008,25830.64063,25596.08008,25615.48047,25615.48047,1462114400
27-08-19,25715.98047,25764.60938,25581.73047,25664.07031,25664.07031,2214167200
26-08-19,25322,25692.2793,25249.50977,25680.33008,25680.33008,2475604900
23-08-19,26057.88086,26241.2207,25940.43945,26179.33008,26179.33008,1621440900
22-08-19,26272.91016,26288.24023,25977.66992,26048.7207,26048.7207,1780728400
21-08-19,26160.53906,26318.13086,26075.91016,26270.03906,26270.03906,1701479200
20-08-19,26256.53906,26347.23047,26149.40039,26231.53906,26231.53906,1822936100
19-08-19,25994.80078,26356.2207,25994.80078,26291.83984,26291.83984,2144882700
16-08-19,25484.96094,25798.10938,25314.26953,25734.2207,25734.2207,2022477500
15-08-19,24945.74023,25552.13086,24899.92969,25495.46094,25495.46094,2145864600
14-08-19,25711.09961,25717.98047,25197.38086,25302.2793,25302.2793,1915522900
13-08-19,25536.61914,25616.71094,25270.91016,25281.30078,25281.30078,1979089800
12-08-19,25869.48047,26069.23047,25824.7207,25824.7207,25824.7207,1200393600
09-08-19,26278.91992,26313.7793,25939.30078,25939.30078,25939.30078,1357616900
08-08-19,25999.44922,26317.41992,25999.44922,26120.76953,26120.76953,1658129900
07-08-19,25977.7207,26025.43945,25738.80078,25997.0293,25997.0293,1671335000
06-08-19,25472.42969,26042.23047,25397.34961,25976.24023,25976.24023,2751867000
05-08-19,26480.4707,26502.60938,26086.85938,26151.32031,26151.32031,2120745300
02-08-19,26950.5293,27043.46094,26868.96094,26918.58008,26918.58008,2317609200
01-08-19,27582.21094,27754.03906,27495.89063,27565.69922,27565.69922,1736444000
31-07-19,27931.2793,27939.7207,27701.43945,27777.75,27777.75,1287084400
30-07-19,28059.82031,28274.65039,28059.82031,28146.5,28146.5,1147561000
29-07-19,28262.80078,28302.66016,27945.41016,28106.41016,28106.41016,1563572300
26-07-19,28406.07031,28487.64063,28338.30078,28397.74023,28397.74023,1320699900
25-07-19,28575.49023,28628.50977,28517.00977,28594.30078,28594.30078,974264600
24-07-19,28578.14063,28764.5,28515.91992,28524.03906,28524.03906,1075821900
23-07-19,28392.03906,28489.28906,28313.78906,28466.48047,28466.48047,950029300
22-07-19,28612.2793,28649.43945,28303.55078,28371.25977,28371.25977,1104886500
19-07-19,28585.15039,28809.58984,28551.19922,28765.40039,28765.40039,1261012300
18-07-19,28393.03906,28511.65039,28376.5,28461.66016,28461.66016,925037300
17-07-19,28463.76953,28593.16992,28377.33984,28593.16992,28593.16992,950441100
16-07-19,28583.92969,28634.65039,28489.41016,28619.61914,28619.61914,1024681900
15-07-19,28303.35938,28567.25,28071.18945,28554.88086,28554.88086,1317116400
12-07-19,28401.86914,28603.86914,28399.66016,28471.61914,28471.61914,1204492700
11-07-19,28347.85938,28582.68945,28347.85938,28431.80078,28431.80078,1067070900
10-07-19,28245.08984,28311.7793,28144.86914,28204.68945,28204.68945,1013012100
09-07-19,28299.73047,28312.9707,28080.73047,28116.2793,28116.2793,1218475000
08-07-19,28513.14063,28541.09961,28194.07031,28331.68945,28331.68945,1250874300
05-07-19,28785.5293,28880.58008,28714.91992,28774.83008,28774.83008,846919500
04-07-19,28891.9707,29007.98047,28776.48047,28795.76953,28795.76953,928449700
03-07-19,28781.9707,28891.89063,28721.21094,28855.14063,28855.14063,1291301500
02-07-19,28904.03906,28959.06055,28768.53906,28875.56055,28875.56055,2110432700
28-06-19,28632.58984,28632.58984,28416.96094,28542.61914,28542.61914,1486688000
27-06-19,28352.93945,28621.41992,28287.33984,28621.41992,28621.41992,1679897500
26-06-19,28046.16016,28267.98047,27985.98047,28221.98047,28221.98047,1431402200
25-06-19,28447.96094,28470.09961,28066.13086,28185.98047,28185.98047,1851984100
24-06-19,28400.63086,28634.48047,28358.06055,28513,28513,1338833200
21-06-19,28581.50977,28581.50977,28359.25,28473.71094,28473.71094,2171897300
20-06-19,28308.84961,28563.08008,28258.01953,28550.42969,28550.42969,1820185000
19-06-19,28224.86914,28224.86914,28022.49023,28202.14063,28202.14063,2076060300
18-06-19,27289.69922,27584.11914,27201.01953,27498.76953,27498.76953,1550614700
17-06-19,27252.44922,27503.09961,27227.16016,27227.16016,27227.16016,1487266700
14-06-19,27180.74023,27275.88086,27051.75,27118.34961,27118.34961,2031083500
13-06-19,27217.7207,27294.71094,26825.34961,27294.71094,27294.71094,1846303100
12-06-19,27603.11914,27603.11914,27222.0293,27308.46094,27308.46094,1866884200
11-06-19,27677.06055,27857.84961,27577.91016,27789.33984,27789.33984,1824700000
10-06-19,27206.60938,27606.41992,27155.0293,27578.64063,27578.64063,2272329600
06-06-19,26935.86914,26984.01953,26837.66992,26965.2793,26965.2793,1601926500
05-06-19,27116.08008,27119.48047,26803.66016,26895.43945,26895.43945,1894174900
04-06-19,26994.08008,26994.08008,26671.90039,26761.51953,26761.51953,1527666000
03-06-19,26909.71094,26968.09961,26735.48047,26893.85938,26893.85938,1716241600
31-05-19,27002.96094,27155.35938,26850.26953,26901.08984,26901.08984,1829465900
30-05-19,27319.25,27319.25,27020.73047,27114.88086,27114.88086,1884022200
29-05-19,27226.94922,27429.36914,27178.71094,27235.71094,27235.71094,2236869000
28-05-19,27274.83008,27490.55078,27230.08984,27390.81055,27390.81055,3043711500
27-05-19,27239.08008,27371.34961,27105.2207,27288.08984,27288.08984,1264256500
24-05-19,27368.67969,27457.58984,27291.93945,27353.92969,27353.92969,1677043500
23-05-19,27505.5293,27523.85938,27169.66992,27267.13086,27267.13086,2219416000
22-05-19,27753.53906,27828.81055,27640.61914,27705.93945,27705.93945,1705803400
21-05-19,27671.40039,27915.16016,27598.06055,27657.24023,27657.24023,2229189200
20-05-19,27959.23047,27999.59961,27699.23047,27787.60938,27787.60938,2260468500
17-05-19,28428,28428,27909.73047,27946.46094,27946.46094,1922181900
16-05-19,28117.48047,28379.36914,28050.7793,28275.07031,28275.07031,2372367500
15-05-19,28171.32031,28441.49023,28171.32031,28268.71094,28268.71094,2244890100
14-05-19,27951.11914,28205.96094,27925.61914,28122.01953,28122.01953,2875261200
10-05-19,28462.33984,28833.44922,28203.2207,28550.24023,28550.24023,2421480000
09-05-19,28839.34961,28891.10938,28281.98047,28311.07031,28311.07031,2907223700
08-05-19,28987.08984,29252,28945.91016,29003.19922,29003.19922,2182802000
07-05-19,29313.58008,29480.03906,29156.44922,29363.01953,29363.01953,1997665400
06-05-19,29342.38086,29384.00977,28956.4707,29209.82031,29209.82031,2934065800
03-05-19,29818.48047,30081.55078,29678.85938,30081.55078,30081.55078,1217388500
02-05-19,29643.05078,29967.74023,29643.05078,29944.17969,29944.17969,1298906600
30-04-19,29828.15039,29855.75977,29620.44922,29699.10938,29699.10938,1359023200
29-04-19,29730.84961,29917.10938,29639.38086,29892.81055,29892.81055,1250717200
26-04-19,29513.08008,29672.78906,29504.14063,29605.00977,29605.00977,1411001700
25-04-19,29667.51953,29849.69922,29535.19922,29549.80078,29549.80078,1644483200
24-04-19,30112.18945,30112.18945,29682.86914,29805.83008,29805.83008,1748986700
23-04-19,29782.94922,30055.93945,29755.86914,29963.24023,29963.24023,2006226400
18-04-19,30088.65039,30101.83008,29896.85938,29963.25977,29963.25977,1569930600
17-04-19,30160.68945,30178.58008,30004.9707,30124.67969,30124.67969,2035147300
16-04-19,29754.30078,30142.85938,29665.10938,30129.86914,30129.86914,2546181500
15-04-19,30119.84961,30280.11914,29810.7207,29810.7207,29810.7207,2010638200
12-04-19,29806.34961,29909.75977,29694.84961,29909.75977,29909.75977,1560692000
11-04-19,30138.14063,30184.60938,29783.66992,29839.44922,29839.44922,1897154200
10-04-19,30052.26953,30139.60938,29892.61914,30119.56055,30119.56055,1814064400
09-04-19,30065.99023,30222.01953,30018.98047,30157.49023,30157.49023,2049354000
08-04-19,30119.58008,30185.06055,29913.61914,30077.15039,30077.15039,2321011600
04-04-19,29950.41992,30050.91016,29765.55078,29936.32031,29936.32031,1854467500
03-04-19,29785.26953,29999.33984,29715.76953,29986.39063,29986.39063,2019434600
02-04-19,29736.99023,29736.99023,29534.41992,29624.66992,29624.66992,1858466500
01-04-19,29383.7207,29612.36914,29383.7207,29562.01953,29562.01953,2475412300
29-03-19,28812.64063,29100.68945,28761.88086,29051.35938,29051.35938,2695223000
28-03-19,28663.19922,28816.58984,28558.80078,28775.21094,28775.21094,1582079600
27-03-19,28564.71094,28781.63086,28551.65039,28728.25,28728.25,1475536600
26-03-19,28677.75977,28701.59961,28435.06055,28566.91016,28566.91016,1406624800
25-03-19,28501.36914,28702.24023,28463.10938,28523.34961,28523.34961,2091121900
22-03-19,29173.33008,29243.09961,28847.33984,29113.35938,29113.35938,1740699100
21-03-19,29387.75,29446.76953,29051.84961,29071.56055,29071.56055,1750672700
20-03-19,29357.18945,29435.81055,29251.25,29320.9707,29320.9707,1580528500
19-03-19,29419.14063,29486.15039,29319.50977,29466.2793,29466.2793,1747657200
18-03-19,29112.43945,29409.00977,29034.13086,29409.00977,29409.00977,1887811300
15-03-19,28843.85938,29204.73047,28828.25977,29012.25977,29012.25977,1974569100
14-03-19,28891.06055,28932.4707,28696.31055,28851.39063,28851.39063,1390223200
13-03-19,28924.2793,28924.2793,28690.36914,28807.44922,28807.44922,1183090900
12-03-19,28760.26953,28941.08984,28734.08984,28920.86914,28920.86914,0
11-03-19,28265.84961,28512.26953,28240.7793,28503.30078,28503.30078,1525534800
08-03-19,28409.14063,28533.75977,28201.08984,28228.41992,28228.41992,2998999600
07-03-19,28965.41992,29007.07031,28772.44922,28779.44922,28779.44922,1691993300
06-03-19,29003.25,29122.81055,28938.39063,29037.59961,29037.59961,1794494900
05-03-19,28823.16016,29025.78906,28734.81055,28961.59961,28961.59961,1951621500
04-03-19,28855.10938,29241.80078,28760.66992,28959.58984,28959.58984,2682948700
01-03-19,28716.59961,28860.19922,28663.71094,28812.16992,28812.16992,1927040400
28-02-19,28719.71094,28917.49023,28571.13086,28633.17969,28633.17969,2086693500
27-02-19,28833.16016,29014.18945,28701.4707,28757.43945,28757.43945,2378404200
26-02-19,28971.23047,28971.23047,28700.00977,28772.06055,28772.06055,2758187900
25-02-19,28975.51953,29009.98047,28763.46094,28959.30078,28959.30078,3517972400
22-02-19,28478.96094,28816.30078,28430.19922,28816.30078,28816.30078,1706490600
21-02-19,28450,28759.34961,28364.84961,28629.91992,28629.91992,1814520300
20-02-19,28404.67969,28599.76953,28357.30078,28514.05078,28514.05078,1928707100
19-02-19,28440.49023,28488.9707,28208.86914,28228.13086,28228.13086,1653127000
18-02-19,28186.75,28412.08008,28186.75,28347.00977,28347.00977,1549943500
15-02-19,28241.43945,28256.68945,27845.86914,27900.83984,27900.83984,1781495400
14-02-19,28396.40039,28476.65039,28275.17969,28432.05078,28432.05078,1433724900
13-02-19,28184.86914,28533.35938,28160.46094,28497.58984,28497.58984,1930777700
12-02-19,28093.31055,28219.58984,27983.48047,28171.33008,28171.33008,1492521500
11-02-19,27927.44922,28143.83984,27847.84961,28143.83984,28143.83984,1384082500
08-02-19,27708.13086,28008.82031,27534.19922,27946.32031,27946.32031,1527669600
04-02-19,27985.41992,28005.15039,27847.42969,27990.21094,27990.21094,808061300
01-02-19,28193.2793,28193.2793,27802.5,27930.74023,27930.74023,1669716900
31-01-19,27842.05078,28010.90039,27773.98047,27942.4707,27942.4707,2225282600
30-01-19,27571.41016,27642.84961,27369.75,27642.84961,27642.84961,1821894600
29-01-19,27397.53906,27575.36914,27328.16992,27531.67969,27531.67969,1821838000
28-01-19,27695.81055,27790.2207,27462.36914,27576.96094,27576.96094,1705146300
25-01-19,27282.88086,27569.18945,27217.75,27569.18945,27569.18945,2264965800
24-01-19,27075.36914,27120.98047,26889.78906,27120.98047,27120.98047,1323732100
23-01-19,26879.91016,27131.2207,26879.91016,27008.19922,27008.19922,1381999400
22-01-19,27189.40039,27223.69922,26854.66016,27005.44922,27005.44922,1578449700
21-01-19,27134.26953,27323.60938,27084.30078,27196.53906,27196.53906,1640014700
18-01-19,26993.43945,27116.65039,26915.08008,27090.81055,27090.81055,1692701900
17-01-19,26953.21094,27012.18945,26703.31055,26755.63086,26755.63086,1860541000
16-01-19,26702.92969,26903.7793,26567.51953,26902.09961,26902.09961,1714886500
15-01-19,26518.61914,26838.55078,26427.44922,26830.28906,26830.28906,1822902000
14-01-19,26559.67969,26575.33008,26195.7793,26298.33008,26298.33008,1426017400
11-01-19,26692.01953,26692.01953,26494.85938,26667.26953,26667.26953,1799353900
10-01-19,26391.7793,26588.21094,26212.33984,26521.42969,26521.42969,1939043900
09-01-19,26237.28906,26597.07031,26192.65039,26462.32031,26462.32031,2680892000
08-01-19,25852.5,25960.89063,25688.5,25875.44922,25875.44922,1578205700
07-01-19,26015.83984,26043.64063,25753.46094,25835.69922,25835.69922,1447090300
04-01-19,24946.11914,25626.0293,24924.73047,25626.0293,25626.0293,1708572100
03-01-19,25077.67969,25262.21094,24896.86914,25064.35938,25064.35938,1481291700
02-01-19,25824.43945,25824.43945,25055.26953,25130.34961,25130.34961,1666316400
31-12-18,25732.51953,25916.23047,25682.66016,25845.69922,25845.69922,826507300
28-12-18,25502.33984,25600.25,25416.35938,25504.19922,25504.19922,1224894400
27-12-18,25818.81055,25920.63086,25446.80078,25478.88086,25478.88086,1313061500
24-12-18,25515.40039,25651.38086,25421.42969,25651.38086,25651.38086,1074120100
21-12-18,25512.30078,25805.60938,25313.75,25753.41992,25753.41992,1935298900
20-12-18,25723.5293,25859.82031,25416.88086,25623.5293,25623.5293,1717860300
19-12-18,25860.67969,25925.99023,25784.08984,25865.39063,25865.39063,1430181500
18-12-18,25903.98047,26152.88086,25713.5,25814.25,25814.25,1449449300
17-12-18,26178.03906,26186.30078,26002.30078,26087.98047,26087.98047,1036879300
14-12-18,26219,26219,26061.4707,26094.78906,26094.78906,1344364100
13-12-18,26417.89063,26581.92969,26314.76953,26524.34961,26524.34961,1747235100
12-12-18,26054.00977,26238.73047,26013.35938,26186.71094,26186.71094,1429660600
11-12-18,25623.40039,25861.73047,25623.40039,25771.66992,25771.66992,1190934600
10-12-18,25794.94922,25845.33984,25570.89063,25752.38086,25752.38086,1544284600
07-12-18,26249.81055,26280.66016,26055.7793,26063.75977,26063.75977,2726993500
06-12-18,26349.41992,26381.11914,26016.08984,26156.38086,26156.38086,2123180600
05-12-18,26745.68945,26914.86914,26745.68945,26819.67969,26819.67969,1330919400
04-12-18,27119.18945,27260.43945,26984.71094,27260.43945,27260.43945,1880483300
03-12-18,27185.66016,27259.42969,27006.83008,27182.03906,27182.03906,2549703200
30-11-18,26506.08984,26683.25,26396.61914,26506.75,26506.75,2000815900
29-11-18,26904.21094,26923.33008,26399.81055,26451.0293,26451.0293,1469593600
28-11-18,26406.67969,26705.30078,26332.66016,26682.56055,26682.56055,1415273800
27-11-18,26345.36914,26417.83984,26158.9707,26331.96094,26331.96094,1394358800
26-11-18,26099.34961,26413.75977,26031.90039,26376.17969,26376.17969,1611982200
23-11-18,25950.07031,25983.25,25807.25977,25927.67969,25927.67969,877061500
22-11-18,26139.39063,26139.39063,25873.38086,26019.41016,26019.41016,1010983600
21-11-18,25496.84961,25998.2793,25494.50977,25971.4707,25971.4707,1397423500
20-11-18,26043.50977,26132.28906,25776.2207,25840.33984,25840.33984,1205800000
19-11-18,26278.86914,26397.39063,26146.39063,26372,26372,1320040400
16-11-18,26041.56055,26197.31055,25850.03906,26183.5293,26183.5293,1330024100
15-11-18,25862.17969,26127.14063,25611.7207,26103.33984,26103.33984,1534457400
14-11-18,25874.35938,25874.35938,25489.85938,25654.42969,25654.42969,1431673200
13-11-18,25092.30078,25792.86914,25092.30078,25792.86914,25792.86914,1689989400
12-11-18,25576.2793,25765.96094,25505.33008,25633.17969,25633.17969,1171178800
09-11-18,25925.08984,25925.08984,25475.32031,25601.91992,25601.91992,1839798600
08-11-18,26491.26953,26491.26953,26141.25,26227.7207,26227.7207,1654626400
07-11-18,26125.08984,26530.86914,25920.7207,26147.68945,26147.68945,1731287400
06-11-18,26062.24023,26159.83008,25826.68945,26120.96094,26120.96094,1562913100
05-11-18,26050.33984,26146.81055,25747.51953,25934.39063,25934.39063,1626675400
02-11-18,25980.43945,26486.34961,25909.71094,26486.34961,26486.34961,3518978800
01-11-18,25228.75,25535.11914,25190.90039,25416,25416,2176972600
31-10-18,24752.83008,24979.68945,24700.10938,24979.68945,24979.68945,2363084500
30-10-18,24765.11914,24939.17969,24540.63086,24585.5293,24585.5293,2100387500
29-10-18,24955.78906,24955.78906,24594.74023,24812.03906,24812.03906,2000985900
26-10-18,25031.49023,25062.19922,24589.03906,24717.63086,24717.63086,1688395600
25-10-18,24766.7207,24994.46094,24653.78906,24994.46094,24994.46094,2288634200
24-10-18,25401.16992,25653.35938,25194.28906,25249.7793,25249.7793,1962753500
23-10-18,26015.49023,26015.49023,25315.75977,25346.55078,25346.55078,1772912000
22-10-18,25668.33008,26234.85938,25668.33008,26153.15039,26153.15039,2222812200
19-10-18,25172.0293,25743.44922,25090.30078,25561.40039,25561.40039,2037871700
18-10-18,25674.66016,25674.66016,25261.7207,25454.55078,25454.55078,1764725000
16-10-18,25586.16016,25712.13086,25266.53906,25462.25977,25462.25977,1467251700
15-10-18,25683.58984,25683.58984,25399.53906,25445.06055,25445.06055,1614888500
12-10-18,25401.41016,25835.75977,25286.85938,25801.49023,25801.49023,2099313400
11-10-18,25392.90039,25437.84961,25125.2207,25266.36914,25266.36914,3090446400
10-10-18,26281.2793,26499.83984,26193.07031,26193.07031,26193.07031,1719141400
09-10-18,26194.16992,26366.59961,26067.50977,26172.91016,26172.91016,1744919700
08-10-18,26717.59961,26717.59961,26187.83008,26202.57031,26202.57031,2296488600
05-10-18,26503.75,26639.64063,26373.46094,26572.57031,26572.57031,1684117300
04-10-18,27029.40039,27029.40039,26551.43945,26623.86914,26623.86914,1903259700